id,name,host_id,host_since,host_total_listings_count,latitude,longitude,neighbourhood_cleansed,property_type,room_type,square_feet,price,review_scores_rating,z_score
36176945,"Polanco, Cama, Yoga, Barre, Spa, Meditación, Arte.",89706518,2016-08-13,0,19.435979999999997,-99.19045,Miguel Hidalgo,Apartment,Entire home/apt,,1296.0,96.0,0.011760049321487399
36177781,Condesa: Amsterdam’s large comfy room with view,11519254,2014-01-21,7,19.41089,-99.16769000000001,Cuauhtémoc,Apartment,Private room,,500.0,98.0,-0.17836831865147687
36178599,"Habitación Be Grand San Ángel, lujo y comodidad",4731111,2013-01-16,2,19.33713,-99.19943,Álvaro Obregón,Apartment,Private room,,750.0,96.0,-0.11865463524288256
36180549,Luxury bedroom,29945305,2015-03-24,1,19.432489999999998,-99.1961,Miguel Hidalgo,House,Private room,,1093.0,100.0,-0.03672746160629117
36182772,"Casa Sola con Estacionamiento, en Colonia de Valle",140660084,2017-07-15,1,19.38125,-99.17116999999999,Benito Juárez,House,Entire home/apt,,580.0,98.0,-0.15925993996072668
36183100,Moderno Cuarto Amueblado Escandon (condesa)0,66952805,2016-04-12,10,19.407120000000003,-99.1832,Miguel Hidalgo,Apartment,Private room,,611.0,97.0,-0.151855443218061
36195788,HERMOSO Y AMPLIO DEPARTAMENTO EN LA ROMA NORTE,156316345,2017-10-26,3,19.41591,-99.15799999999999,Cuauhtémoc,Apartment,Entire home/apt,,955.0,93.0,-0.06968941484783524
36201368,"Acabados de Lujo, recién remodelado, muy acogedor",272262927,2019-06-29,1,19.39605,-99.18244,Benito Juárez,Apartment,Entire home/apt,,407.0,,-0.20058180887947394
36203752,Habitación Independiente en Pedregal de San Angel,266296425,2019-06-04,2,19.31118,-99.21125,Álvaro Obregón,House,Private room,,602.0,100.0,-0.15400513582077038
36204706,Basement studio cerca UNAM Perisur INP,1724338,2012-02-09,1,19.30987,-99.19147,Coyoacán,Guest suite,Private room,,223.0,,-0.24453107986819936
